event_id,weeks,req_room_type,size,L_slots,assigned_day,assigned_start_hour,room_id,room_campus
E:R2UBV8JV5I,"27, 28",General Teaching,23,2,Thursday,13,,
E:7JMHFZXU68,16,General Teaching,5,2,Wednesday,14,,
E:8YMPSDD24K,"9, 10",General Teaching,17,1,Wednesday,11,,
E:G4B7GGEOZY,"26, 27",General Teaching,25,2,Monday,10,,
E:KOFDZHL6ZI,16,Laboratory,12,1,Thursday,12,,
E:LBZZZMQQNE,16,Laboratory,14,3,Wednesday,15,,
E:QVJFHTOB21,16,Laboratory,12,1,Wednesday,12,,
E:MYH8YAVHMB,16,Laboratory,12,1,Friday,11,,
E:1LMJ3VI47V,"9, 10",General Teaching,50,3,Friday,10,,
E:JOWRF6MGSQ-00001,"32, 33",General Teaching,25,2,Monday,10,,
E:P1SB8YQZ9X,"26, 27",General Teaching,15,1,Monday,17,,
E:8OZOI6GWHQ,16,Laboratory,12,1,Monday,13,,
E:63L5URNO4E,"5, 6",General Teaching,21,3,Monday,9,,
E:IAWWRWZD68,16,Laboratory,12,1,Tuesday,10,,
E:NKG5S9BEUH,16,Laboratory,12,1,Thursday,12,,
E:7DL4IWBY1X-00001,16,No room required,65,2,Monday,9,,
E:BMOZ5QTSLF,"10, 11",General Teaching,30,2,Wednesday,11,,
E:H8D6BWB7CO,16,Laboratory,24,3,Tuesday,9,,
E:FJE9L95BV1,16,Laboratory,6,3,Tuesday,11,,
E:RWNK43W9PI,16,Laboratory,24,3,Tuesday,9,,
E:FHE4VGYF9L,16,Laboratory,4,3,Wednesday,15,,
E:T83J5VOHQB,16,Laboratory,14,3,Wednesday,11,,
E:89KZDKRDHK-00001,"25, 27",General Teaching,200,3,Friday,13,,
E:534SLHBT3P,"16, 17",General Teaching,20,1,Tuesday,11,,
E:BGDOQTU1US,"9, 10",General Teaching,20,3,Thursday,14,,
E:KXSXNRU22Y,16,Laboratory,12,1,Friday,14,,
E:KZW47ALQHA,16,General Teaching,50,1,Thursday,17,,
E:LJXN3O2AUY-00001,16,No room required,65,2,Monday,9,,
E:D8M4RAO8M7,16,Laboratory,4,3,Monday,9,,
E:6T1ZJ31H2J,"10, 11",General Teaching,30,2,Wednesday,11,,
E:B2WV71VI4J,16,Laboratory,12,1,Monday,15,,
E:HEOWMUMW61,16,Laboratory,12,1,Thursday,9,,
E:QPT2MDGM73,16,Laboratory,12,4,Tuesday,10,,
